index,massa,t,inertezza,udm
1,m1,1.65,0.01,s
2,m1,1.60,0.01,s
3,m1,1.66,0.01,s
4,m1,2.18,0.01,s
5,m1,1.54,0.01,s
6,m1,1.74,0.01,s
7,m1,1.47,0.01,s
8,m1,1.55,0.01,s
9,m1,1.80,0.01,s
10,m1,1.75,0.01,s
11,m1,1.94,0.01,s
12,m1,2.05,0.01,s
13,m1,2.67,0.01,s
14,m1,1.56,0.01,s
15,m1,2.45,0.01,s
16,m1,1.43,0.01,s
17,m1,2.08,0.01,s
18,m1,2.02,0.01,s
19,m1,1.55,0.01,s
20,m1,1.88,0.01,s
21,m1,2.31,0.01,s
22,m1,1.67,0.01,s
23,m1,1.72,0.01,s
24,m1,2.37,0.01,s
25,m1,1.60,0.01,s
26,m1,1.44,0.01,s
27,m1,1.69,0.01,s
28,m1,2.50,0.01,s
29,m1,2.15,0.01,s
30,m1,1.48,0.01,s
31,m1,1.17,0.01,s
32,m1,1.51,0.01,s
33,m1,1.24,0.01,s
34,m1,1.44,0.01,s
35,m1,1.73,0.01,s
36,m1,1.37,0.01,s
37,m1,1.49,0.01,s
38,m1,1.34,0.01,s
39,m1,1.31,0.01,s
40,m1,1.39,0.01,s
1,m2,0.98,0.01,s
2,m2,0.87,0.01,s
3,m2,0.92,0.01,s
4,m2,0.95,0.01,s
5,m2,0.93,0.01,s
6,m2,0.91,0.01,s
7,m2,0.85,0.01,s
8,m2,0.89,0.01,s
9,m2,0.86,0.01,s
10,m2,0.86,0.01,s
11,m2,1.00,0.01,s
12,m2,0.92,0.01,s
13,m2,0.89,0.01,s
14,m2,0.93,0.01,s
15,m2,0.87,0.01,s
16,m2,0.87,0.01,s
17,m2,0.89,0.01,s
18,m2,0.87,0.01,s
19,m2,0.87,0.01,s
20,m2,0.94,0.01,s
21,m2,0.91,0.01,s
22,m2,0.86,0.01,s
23,m2,0.93,0.01,s
24,m2,0.87,0.01,s
25,m2,0.93,0.01,s
26,m2,0.87,0.01,s
27,m2,0.54,0.01,s
28,m2,0.88,0.01,s
29,m2,0.84,0.01,s
30,m2,0.94,0.01,s
31,m2,0.99,0.01,s
32,m2,0.89,0.01,s
33,m2,0.90,0.01,s
34,m2,0.91,0.01,s
35,m2,0.86,0.01,s
36,m2,0.88,0.01,s
37,m2,0.91,0.01,s
38,m2,0.81,0.01,s
39,m2,0.92,0.01,s
40,m2,0.88,0.01,s
1,m3,1.45,0.01,s
2,m3,1.21,0.01,s
3,m3,1.33,0.01,s
4,m3,1.19,0.01,s
5,m3,1.12,0.01,s
6,m3,1.03,0.01,s
7,m3,1.23,0.01,s
8,m3,1.25,0.01,s
9,m3,1.13,0.01,s
10,m3,1.13,0.01,s
11,m3,1.07,0.01,s
12,m3,1.15,0.01,s
13,m3,1.14,0.01,s
14,m3,1.05,0.01,s
15,m3,1.08,0.01,s
16,m3,1.10,0.01,s
17,m3,1.02,0.01,s
18,m3,1.07,0.01,s
19,m3,1.04,0.01,s
20,m3,1.05,0.01,s
21,m3,1.01,0.01,s
22,m3,1.02,0.01,s
23,m3,1.07,0.01,s
24,m3,1.07,0.01,s
25,m3,1.02,0.01,s
26,m3,0.99,0.01,s
27,m3,1.03,0.01,s
28,m3,1.03,0.01,s
29,m3,1.10,0.01,s
30,m3,1.01,0.01,s
31,m3,1.10,0.01,s
32,m3,1.21,0.01,s
33,m3,1.05,0.01,s
34,m3,1.07,0.01,s
35,m3,1.11,0.01,s
36,m3,1.03,0.01,s
37,m3,1.07,0.01,s
38,m3,1.04,0.01,s
39,m3,1.06,0.01,s
40,m3,1.11,0.01,s
1,m4,0.73,0.01,s
2,m4,0.75,0.01,s
3,m4,0.74,0.01,s
4,m4,0.73,0.01,s
5,m4,0.73,0.01,s
6,m4,0.72,0.01,s
7,m4,0.73,0.01,s
8,m4,0.74,0.01,s
9,m4,0.73,0.01,s
10,m4,0.73,0.01,s
11,m4,0.73,0.01,s
12,m4,0.73,0.01,s
13,m4,0.73,0.01,s
14,m4,0.71,0.01,s
15,m4,0.72,0.01,s
16,m4,0.73,0.01,s
17,m4,0.72,0.01,s
18,m4,0.72,0.01,s
19,m4,0.72,0.01,s
20,m4,0.71,0.01,s
21,m4,0.71,0.01,s
22,m4,0.71,0.01,s
23,m4,0.72,0.01,s
24,m4,0.73,0.01,s
25,m4,0.73,0.01,s
26,m4,0.72,0.01,s
27,m4,0.73,0.01,s
28,m4,0.73,0.01,s
29,m4,0.73,0.01,s
30,m4,0.72,0.01,s
31,m4,0.74,0.01,s
32,m4,0.72,0.01,s
33,m4,0.74,0.01,s
34,m4,0.73,0.01,s
35,m4,0.73,0.01,s
36,m4,0.74,0.01,s
37,m4,0.73,0.01,s
38,m4,0.73,0.01,s
39,m4,0.72,0.01,s
40,m4,0.74,0.01,s
1,m5,0.80,0.01,s
2,m5,0.80,0.01,s
3,m5,0.79,0.01,s
4,m5,0.80,0.01,s
5,m5,0.80,0.01,s
6,m5,0.81,0.01,s
7,m5,0.81,0.01,s
8,m5,0.81,0.01,s
9,m5,0.80,0.01,s
10,m5,0.82,0.01,s
11,m5,0.80,0.01,s
12,m5,0.79,0.01,s
13,m5,0.81,0.01,s
14,m5,0.82,0.01,s
15,m5,0.80,0.01,s
16,m5,0.73,0.01,s
17,m5,0.80,0.01,s
18,m5,0.81,0.01,s
19,m5,0.82,0.01,s
20,m5,0.79,0.01,s
21,m5,0.79,0.01,s
22,m5,0.80,0.01,s
23,m5,0.81,0.01,s
24,m5,0.82,0.01,s
25,m5,0.82,0.01,s
26,m5,0.80,0.01,s
27,m5,0.82,0.01,s
28,m5,0.81,0.01,s
29,m5,0.81,0.01,s
30,m5,0.83,0.01,s
31,m5,0.82,0.01,s
32,m5,0.81,0.01,s
33,m5,0.80,0.01,s
34,m5,0.80,0.01,s
35,m5,0.80,0.01,s
36,m5,0.80,0.01,s
37,m5,0.81,0.01,s
38,m5,0.81,0.01,s
39,m5,0.81,0.01,s
40,m5,0.80,0.01,s